スポット名,都市,カテゴリ,入場料（円）,所要時間,営業時間,おすすめ度,特徴,メモ
ペトロナスツインタワー,クアラルンプール,観光,2000,2時間,9:00-21:00,★★★★★,世界的な高層ビル・展望台あり,事前予約推奨
ブキッビンタン,クアラルンプール,ショッピング・グルメ,無料,3時間,終日,★★★★★,KL最大の繁華街・夜も賑やか,夜のほうが楽しい
チャイナタウン（ペタリン街）,クアラルンプール,ナイトマーケット,無料,2時間,17:00-23:00,★★★★☆,屋台・雑貨・偽ブランド天国,値切り交渉が楽しい
バトゥ洞窟,クアラルンプール,観光・宗教,無料,1.5時間,7:00-21:00,★★★★☆,ヒンドゥー教の聖地・272段の階段,朝早めがおすすめ
セントラルマーケット,クアラルンプール,ショッピング,無料,2時間,10:00-22:00,★★★★☆,マレーシア雑貨・お土産,ともちゃんに特におすすめ
ジョージタウン旧市街,ペナン,観光・アート,無料,半日,終日,★★★★★,世界遺産・ウォールアート,インスタ映え最高
ペナンナイトマーケット,ペナン,グルメ,無料,2時間,18:00-23:00,★★★★★,ローカルフードの宝庫・チャークイティオが絶品,ぶんちゃんに特におすすめ
Cicheti,クアラルンプール,カフェ,無料,1時間,8:00-18:00,★★★★★,インスタ映えカフェ・コーヒーが絶品,かっちゃんに特におすすめ
マラッカ旧市街,マラッカ,観光,無料,半日,終日,★★★★★,世界遺産・カラフルな建物,日帰りトリップ向き
Marini's on 57,クアラルンプール,ルーフトップバー,無料（要予約）,2時間,17:00-1:00,★★★★★,ツインタワーが見えるルーフトップ,あこさんに特におすすめ
